,cue_type,condition_type,target_location,cue_direction,cond_type,random_order
0,parent_CJ,congruent,left,left,1,0
1,parent_CJ,congruent,right,right,1,1
2,parent_CJ,congruent,left,left,1,2
3,parent_CJ,congruent,right,right,1,3
4,parent_CJ,congruent,left,left,1,4
5,parent_CJ,congruent,right,right,1,5
6,parent_CJ,congruent,left,left,1,6
7,parent_CJ,congruent,right,right,1,7
8,parent_CJ,congruent,left,left,1,8
9,parent_CJ,congruent,right,right,1,9
10,parent_CJ,congruent,left,left,1,10
11,parent_CJ,congruent,right,right,1,11
12,parent_CJ,congruent,left,left,1,12
13,parent_CJ,congruent,right,right,1,13
14,parent_CJ,congruent,left,left,1,14
15,parent_CJ,congruent,right,right,1,15
16,parent_CJ,congruent,left,left,1,16
17,parent_CJ,congruent,right,right,1,17
18,parent_CJ,congruent,left,left,1,18
19,parent_CJ,congruent,right,right,1,19
20,parent_CJ,congruent,left,left,1,20
21,parent_CJ,congruent,right,right,1,21
22,parent_CJ,congruent,left,left,1,22
23,parent_CJ,congruent,right,right,1,23
24,parent_CJ,incongruent,left,right,2,24
25,parent_CJ,incongruent,right,left,2,25
26,parent_CJ,incongruent,left,right,2,26
27,parent_CJ,incongruent,right,left,2,27
28,parent_CJ,incongruent,left,right,2,28
29,parent_CJ,incongruent,right,left,2,29
30,parent_CJ,neutral,left,neutral,3,30
31,parent_CJ,neutral,right,neutral,3,31
32,parent_CJ,neutral,left,neutral,3,32
33,parent_CJ,neutral,right,neutral,3,33
34,parent_CJ,neutral,left,neutral,3,34
35,parent_CJ,neutral,right,neutral,3,35
36,parent_CJ,neutral,left,neutral,3,36
37,parent_CJ,neutral,right,neutral,3,37
38,parent_CJ,neutral,left,neutral,3,38
39,parent_CJ,neutral,right,neutral,3,39
